link_stub,rank,title,lifetime_gross,year,actor_actress
/title/tt0114709/?ref_=bo_cso_table_166,166,Toy Story,"$223,225,679",1995,Tom Hanks
/title/tt2245084/?ref_=bo_cso_table_167,167,Big Hero 6,"$222,527,828",2014,Ryan Potter
/title/tt4912910/?ref_=bo_cso_table_168,168,Mission: Impossible - Fallout,"$220,159,104",2018,Tom Cruise
/title/tt0465234/?ref_=bo_cso_table_169,169,National Treasure: Book of Secrets,"$219,964,115",2007,Nicolas Cage
/title/tt1231580/?ref_=bo_cso_table_170,170,Alvin and the Chipmunks: The Squeakquel,"$219,614,612",2009,Jason Lee
/title/tt0107614/?ref_=bo_cso_table_171,171,Mrs. Doubtfire,"$219,195,243",1993,Robin Williams
/title/tt0101414/?ref_=bo_cso_table_172,172,Beauty and the Beast,"$218,967,620",1991,Paige O'Hara
/title/tt1637725/?ref_=bo_cso_table_173,173,Ted,"$218,815,487",2012,Mark Wahlberg
/title/tt0360717/?ref_=bo_cso_table_174,174,King Kong,"$218,080,025",2005,Naomi Watts
/title/tt0099653/?ref_=bo_cso_table_175,175,Ghost,"$217,631,306",1990,Patrick Swayze
/title/tt0892769/?ref_=bo_cso_table_176,176,How to Train Your Dragon,"$217,581,231",2010,Jay Baruchel
/title/tt0382625/?ref_=bo_cso_table_177,177,The Da Vinci Code,"$217,536,138",2006,Tom Hanks
/title/tt0103639/?ref_=bo_cso_table_178,178,Aladdin,"$217,350,219",1992,Scott Weinger
/title/tt0952640/?ref_=bo_cso_table_179,179,Alvin and the Chipmunks,"$217,326,974",2007,Jason Lee
/title/tt0120815/?ref_=bo_cso_table_180,180,Saving Private Ryan,"$217,049,603",1998,Tom Hanks
/title/tt1727824/?ref_=bo_cso_table_181,181,Bohemian Rhapsody,"$216,668,042",2018,Rami Malek
/title/tt5095030/?ref_=bo_cso_table_182,182,Ant-Man and the Wasp,"$216,648,740",2018,Paul Rudd
/title/tt1277953/?ref_=bo_cso_table_183,183,Madagascar 3: Europe's Most Wanted,"$216,391,482",2012,Ben Stiller
/title/tt0441773/?ref_=bo_cso_table_184,184,Kung Fu Panda,"$215,434,591",2008,Jack Black
/title/tt0120755/?ref_=bo_cso_table_185,185,Mission: Impossible II,"$215,409,889",2000,Tom Cruise
/title/tt1517451/?ref_=bo_cso_table_186,186,A Star Is Born,"$215,288,866",2018,Lady Gaga
/title/tt0290334/?ref_=bo_cso_table_187,187,X2: X-Men United,"$214,949,694",2003,Patrick Stewart
/title/tt1482459/?ref_=bo_cso_table_188,188,The Lorax,"$214,030,500",2012,Zac Efron
/title/tt3778644/?ref_=bo_cso_table_189,189,Solo: A Star Wars Story,"$213,767,512",2018,Alden Ehrenreich
/title/tt1270797/?ref_=bo_cso_table_190,190,Venom,"$213,515,506",2018,Tom Hardy
/title/tt0295178/?ref_=bo_cso_table_191,191,Austin Powers in Goldmember,"$213,307,889",2002,Mike Myers
/title/tt7349950/?ref_=bo_cso_table_192,192,It Chapter Two,"$211,593,228",2019,Jessica Chastain
/title/tt0088763/?ref_=bo_cso_table_193,193,Back to the Future,"$211,406,762",1985,Michael J. Fox
/title/tt0416449/?ref_=bo_cso_table_194,194,300,"$210,614,939",2007,Gerard Butler
/title/tt2380307/?ref_=bo_cso_table_195,195,Coco,"$210,460,015",2017,Anthony Gonzalez
/title/tt1596343/?ref_=bo_cso_table_196,196,Fast Five,"$209,837,675",2011,Vin Diesel
/title/tt1229238/?ref_=bo_cso_table_197,197,Mission: Impossible - Ghost Protocol,"$209,397,903",2011,Tom Cruise
/title/tt0396269/?ref_=bo_cso_table_198,198,Wedding Crashers,"$209,255,921",2005,Owen Wilson
/title/tt0988045/?ref_=bo_cso_table_199,199,Sherlock Holmes,"$209,028,679",2009,Robert Downey Jr.
